id,nazwa,kod
1,Aleksandrow Kujawski,53-614
2,Alwernia,27-938
3,Baborów,48-364
4,Barlinek,83-236
5,Barwinek,09-428
6,Bezledy,75-057
7,Bêdzin,69-501
8,Bia³a Podlaska,00-425
9,Bia³aszewo,56-545
10,Bia³ystok,54-632
11,Bielsk Podlaski,96-087
12,Bochnia,89-362
13,Bo¿ewo,94-896
14,Brañsk,29-325
15,Brzeg Dolny,14-287
16,Brzesko,96-703
17,Bydgoszcz,29-199
18,Bytom,80-339
19,Chalupki,70-071
20,Che³m,37-997
21,Chorzów,97-545
22,Chy¿ne,76-235
23,Ciechanów,37-640
24,Ciechocinek,98-839
25,Cieszyn,68-101
26,Czêstochowa,86-116
27,Daszyna,43-141
28,D¹browa Górnicza,75-727
29,Debrzno,03-065
30,Dêbica,53-306
31,Dêblin,53-807
32,Dêbowiec,36-478
33,D³ugopole-Zdrój,07-772
34,Dobieszowice,34-734
35,Dobre Miasto,52-964
36,Dzier¿oniów,87-324
37,Elbl¹g,10-656
38,E³k,05-563
39,Gdañsk,83-271
40,Gdynia,13-179
41,Gieb³o,76-179
42,Giera³towice,04-834
43,Gliwice,11-608
44,G³ubczyce,65-458
45,G³ucho³azy,30-136
46,Gorki Male,36-984
47,Gorzów Wielkopolski,78-003
48,Gostyñ,97-023
49,Grudzi¹dz,43-210
50,Gryfice,51-783
51,Gubin,94-706
52,Halinów,33-056
53,Hrebenne,37-873
54,I³awa,70-459
55,Inowroc³aw,21-327
56,Istebna,22-654
57,Izbica Kujawska,02-756
58,Jakuszyce,89-300
59,Jas³o,92-050
60,Jastrzêbie-Zdrój,51-394
61,Jaworzno,98-650
62,Jaworzynka,56-921
63,Jejkowice,67-738
64,Jelenia Góra,14-742
65,Je¿ewo,53-780
66,Jêdrzejów,62-049
67,Józefów,40-643
68,Julianka,95-306
69,Kalisz,29-379
70,Karniewo,21-405
71,Katowice,72-241
72,Kety,36-844
73,Kêdzierzyn-KoŸle,81-133
74,Kêpice,66-251
75,Kielce,04-274
76,Kleszczów,18-459
77,K³omnice,43-045
78,Kobylin,02-635
79,Kobylin-Borzymy,21-258
80,Kogutek,99-754
81,Ko³baskowo,95-186
82,Koniaków,34-607
83,Konin,39-551
84,Kostrzyn,22-864
85,Koszalin,36-759
86,Koœcian,26-594
87,Krapkowice,94-560
88,Kraœnik,90-749
89,Krosno,80-338
90,Kruszwica,33-294
91,Krzeszowice,91-488
92,Krzy¿ Wielkopolski,09-310
93,Kudowa-S³one,83-829
94,KuŸnia Raciborska,78-122
95,KuŸnica Bia³ostocka,81-042
96,Legionowo,36-889
97,Legnica,58-930
98,Leszno,90-272
99,Lêdziny,27-535
